name,recclass,mass (g),fall,date,year,reclat,reclong
Cartoonkana,L6,294,Found,1/1/1914,1914,-29.75,141.03333
Gladstone (iron),Iron IAB-MG,736600,Found,1/1/1915,1915,-23.9,151.3
Rosebud,H5,54900,Found,1/1/1915,1915,30.81667,-97.05
Albin (pallasite),Pallasite PMG,37600,Found,1/1/1915,1915,41.5,-104.1
Meester-Cornelis,H5,24750,Fell,1/1/1915,1915,-6.23333,106.88333
Waingaromia,Iron IIIAB,9200,Found,1/1/1915,1915,-38.25,178.08333
Uvalde,H5,8200,Found,1/1/1915,1915,29.2,-99.76667
South Byron,Iron ungrouped,6000,Found,1/1/1915,1915,43.03333,-78.03333
Ilinskaya Stanitza,Iron IIIAB,5621,Found,1/1/1915,1915,51.23333,57.38333
Naretha,L4,5500,Found,1/1/1915,1915,-31,124.83333
Shiraiwa,H4,950,Found,1/1/1915,1915,39.5,140.2
Visuni,H6,594,Fell,1/1/1915,1915,25.45,70
Chico Mountains,Iron IIAB,212,Found,1/1/1915,1915,29,-103.25
Suwa,Iron,203,Found,1/1/1915,1915,36.03333,138.08333
Boguslavka,Iron IIAB,256000,Fell,1/1/1916,1916,44.55,131.63333
Treysa,Iron IIIAB-an,63000,Fell,1/1/1916,1916,50.91667,9.18333
Cachari,Eucrite-mmict,23500,Found,1/1/1916,1916,-36.4,-59.5
Mount Magnet,Iron IAB-sHH,16600,Found,1/1/1916,1916,-28.16667,118.5
Angelica,Iron IIIAB,14800,Found,1/1/1916,1916,44.25,-88.25
Annaheim,Iron IAB-sLL,13500,Found,1/1/1916,1916,52.33333,-104.86667
Lost Creek,H3.8,4018,Found,1/1/1916,1916,39.12417,-98.16778
Calivo,Stone-uncl,2400,Fell,1/1/1916,1916,11.75,122.33333
Slaghek's Iron,Iron IIIAB,1900,Found,1/1/1916,1916,,
Petropavlovka,H4,1773,Found,1/1/1916,1916,48.2,43.73333
Sultanpur,L/LL6,1710.5,Fell,1/1/1916,1916,25.93333,84.28333
Sinai,L6,1455,Fell,1/1/1916,1916,30.9,32.48333
Okechobee,L4,1000,Found,1/1/1916,1916,26.68333,-80.8
Ekh Khera,H6,840,Fell,1/1/1916,1916,28.26667,78.78333
Baxter,L6,611,Fell,1/1/1916,1916,36.75,-93.5
Tomita,L,600,Fell,1/1/1916,1916,34.5,133.75
Renqiu,L6,355,Fell,1/1/1916,1916,38.66667,116.13333
Fillmore,Iron,113,Found,1/1/1916,1916,49.883333,-103.6
Rampurhat,LL,100,Fell,1/1/1916,1916,24.16667,87.76667
Pampa de Agua Blanca,L6,10,Found,1/1/1916,1916,-24.16667,-69.83333
Plainview (1917),H5,700000,Found,1/1/1917,1917,34.11667,-101.78333
Pei Xian,Iron,400000,Found,1/1/1917,1917,34.7,117
Youanmi,Iron IIIAB,118400,Found,1/1/1917,1917,-29.5,118.75
Colby (Wisconsin),L6,104000,Fell,1/1/1917,1917,44.9,-90.28333
Pierceville (iron),Iron IIIAB,100000,Found,1/1/1917,1917,37.86667,-100.66667
Tulia (a),H3-4,86000,Found,1/1/1917,1917,34.61667,-101.95
Nan Yang Pao,L6,52900,Fell,1/1/1917,1917,35.66667,103.5
Waterville,Iron IAB-ung,37125,Found,1/1/1917,1917,47.767778,-119.876389
Bluff (b),L4,16000,Found,1/1/1917,1917,29.86306,-96.92667
Strathmore,L6,13400,Fell,1/1/1917,1917,56.58333,-3.25
New Almelo,L5,8000,Found,1/1/1917,1917,39.66667,-100
Tulia (b),L6,4800,Found,1/1/1917,1917,34.53333,-101.7
Cranganore,L6,1460,Fell,1/1/1917,1917,10.2,76.26667
Troup,L6,1020,Fell,1/1/1917,1917,32.16667,-95.1
Independence,L6,880,Fell,1/1/1917,1917,39.08333,-94.4
